In The Groove	N	S	1	I'll Get There Anyway	
In The Groove	E	D	3	Infection	
In The Groove	H	D	9	Infection	
In The Groove	M	D	6	Infection	
In The Groove	X	D	10	Infection	
In The Groove	E	S	3	Infection	
In The Groove	H	S	8	Infection	
In The Groove	M	S	6	Infection	
In The Groove	N	S	1	Infection	
In The Groove	X	S	11	Infection	
In The Groove	E	D	5	July	
In The Groove	H	D	9	July	
In The Groove	M	D	7	July	
In The Groove	X	D	10	July	
In The Groove	E	S	3	July	
In The Groove	H	S	9	July	
In The Groove	M	S	5	July	
In The Groove	N	S	1	July	
In The Groove	X	S	11	July	
In The Groove	E	D	5	Kagami	
In The Groove	H	D	9	Kagami	
In The Groove	M	D	8	Kagami	
In The Groove	X	D	11	Kagami	
In The Groove	E	S	3	Kagami	
In The Groove	H	S	8	Kagami	
In The Groove	M	S	5	Kagami	
In The Groove	N	S	1	Kagami	
In The Groove	X	S	10	Kagami	
In The Groove	E	D	3	Kiss Me Red	
In The Groove	H	D	6	Kiss Me Red	
In The Groove	M	D	5	Kiss Me Red	
In The Groove	X	D	9	Kiss Me Red	
In The Groove	E	S	2	Kiss Me Red	
In The Groove	H	S	7	Kiss Me Red	
In The Groove	M	S	5	Kiss Me Red	
In The Groove	N	S	1	Kiss Me Red	
In The Groove	X	S	9	Kiss Me Red	
In The Groove	E	D	4	Land of the Rising Sun	
In The Groove	H	D	8	Land of the Rising Sun	
In The Groove	M	D	6	Land of the Rising Sun	
In The Groove	X	D	9	Land of the Rising Sun	
In The Groove	E	S	3	Land of the Rising Sun	
In The Groove	H	S	7	Land of the Rising Sun	
In The Groove	M	S	5	Land of the Rising Sun	
In The Groove	N	S	1	Land of the Rising Sun	
In The Groove	E	D	4	Lemmings on the Run	
In The Groove	H	D	8	Lemmings on the Run	
In The Groove	M	D	6	Lemmings on the Run	
In The Groove	X	D	9	Lemmings on the Run	
In The Groove	E	S	3	Lemmings on the Run	
In The Groove	H	S	7	Lemmings on the Run	
In The Groove	M	S	5	Lemmings on the Run	
In The Groove	N	S	1	Lemmings on the Run	
In The Groove	X	S	9	Lemmings on the Run	
In The Groove	E	D	2	Let Me Be The One	
In The Groove	H	D	7	Let Me Be The One	
In The Groove	M	D	5	Let Me Be The One	
In The Groove	E	S	3	Let Me Be The One	
In The Groove	H	S	6	Let Me Be The One	
In The Groove	M	S	4	Let Me Be The One	
In The Groove	N	S	1	Let Me Be The One	
In The Groove	E	D	3	Let My Love Go Blind	
In The Groove	H	D	8	Let My Love Go Blind	
In The Groove	M	D	6	Let My Love Go Blind	
In The Groove	X	D	9	Let My Love Go Blind	
In The Groove	E	S	4	Let My Love Go Blind	
